platform,title_message_lemmatized
android,прямая нету связь работодатель указывать номер телефон какой никто нужный переписка зато твой номер телефон указывать обязательный порядок начинаться спам рекламный звонок выходной день часы утро заставлять заполнять анкета выманивать личный информация всеобщий обозрение
android,один писать отзыв разорвать часть зайти фильтр попробовать выбрать нужный город пример химки крайне неудобный система пользователь
android,вернуть старый версия 2018 2019гна мочь разобратьсякучий существуужасно
android,один тот вакансия такой впечатление место проживание никто смотреть практически вакансия друг регион
android,грошить цена ваш рекомендация прислушиваться работодательсамай хороший оценка удалить устройство
android,норма
android,фильтр плохо работать
android,работа дитея
android,нечего найти работа
android,здравствовать создать резюме модератор публиковать весь резюме поменять дополнение ввести весь
android,запарить слово поиск похожий результат писать вместо нииас находить аиис постоянно
android,ужасно
ios,близко дом добрый день данный период удалённый работа найти нужно удалённый близко дом заранее спасибо
ios,сделать глупость обновить мочь войти обновить мочь войти лк активно пользоваться сайт мочь войти приложениеиздеваться трудный время искать работа подвести
ios,плохо постоянно зависать
ios,работать выкидывать
android,постоянно приходить уведомление просьба рекомендовать человек свой знакомый контакт давно человек
ios,самый удобный подвисать неудобно смотреть отклик
android,неудобный большой часть предлагать вакансия соответствовать мой специальность отключать уведомление вакансия какой время появляться снова резюме заблокировать модератор объяснение причина полагать администрация просто хотеть слупить деньга публикация
android,преображенский
android,глупость непонятный
android,обновление часто слетать авторизация
android,здравствовать лишний информация спасибо
android,ужасно весь блокировать большой деньга предлагать составить резюме думать мошенникиповторять мошенник собирать информация который нужный работодатель
android,хороший логично ужасный работа отдел кадр работодатель фильтровать специфика умение профпригодность понимать почему получать отказ 90 подходящий стыковка пожелание добавить рейтинг работодатель раздел отзыв бывший настоящий сотрудник обязательный указание причина отказ резюме соискатель
android,вакансия липовый
android,опыт работа мочь создать искать вакансия кроме наченаться специалист ая искать продавец консультант рабочий
android,черта один менеджер
android,ьм
ios,работать заходить посмотреть оповещение работать просить обратить внимание спасибо
android,переустановка давать авторизоваться восстановление пароль номер телефон такой клиент
android,войти писать произойти ошибка переустановка помочь
android,постоянно писать интернет соединение сеть хотя весь остальной работать хх компьютер грузить невозможно искать телефон 10 обновлять загрузиться
android,регистрация почта стать приходить спам несуществующий кадровый агентство fresh wind который невозможно отписаться выходить hh сливать дать пользователь
android,мочь зайти аккаунт скидывать настройка удалять устанавливать заново зайти однократно пытаться восстановить пароль
android,сделать кнопочка жалоба работадатель очень мошенник tiens ещё прочий маскироваться ложный фирма тип альянс уральский торговый компания тд быть жалоба человек гнать поганый метла разводить студент пенсионер человек быть откликаться ждать ответ мошенник
android,обновление пропасть мой составить резюме случиться безобразие
android,ранше резюме опубликовать печально
android,вечно вылетать
android,сам работать глючить предлагать соискатель приходить 11 новый вакансия яндекс факт новый просмотреть врать ради получить движуха понятно соискатель наплевать главный бабнуть срубить грустно
android,самый первое знакомство дождаться фильтр кроме вакансия риелтор менеджер продажа прочий просто портить впечатление спасибо
android,почему граф гражданство строка рвп внж
android,нахрен должный платить поиск работа её искать
android,огромный количество вакансия условие который соответствовать действительность сожаление выяснить попасть собеседование вопрос разработчик почему сей пора сделать возможность оставлять отзыв недобросовестный работадатель невыгодный основной доход получать именно работодатель размещать вакансия ваш ресурс
android,непонятный месяц разобраться он удалять
android,менің резюмемді нега қабылдамайд
android,компания один тот плохо сделать функция соискатель мочь оставлять комментарий иной рабодотатель соискатель знать стоить время тратить компания
android,подключить услуга автоподнятие резюме неделя 299 рубль два день подключение увидеть резюме обновить накануне 1725 часы обновление поднять резюме вручную программа позволять служба поддержка объяснить резюме подниматься поиск автоматически каждый час состояние 11 часы второе сутки резюме обновить связать смочь объяснить отключить услуга деньга вернуть
android,поиск вакансия например задать поиск курьер офис выдаваться следующий результат ночной оператор бухгалтер кассир делопроизводитель прочий вакансия иметь отношение курьер результат найти 68 вакансия среди который реальный вакансия курьер несколько поиск вакансия специалист учебный отдел выдавать результат кладовщик пользоваться такой
ios,ххра безграмотность реклама ответ ответ кавычка выше произношение деревня оно сильно резать слух произноситься хотя целиком хедхантера вместо аббревиатура неграмотный страшно
ios,плохо постоянно появляться ранее скрытый вакансия баг вечный обновление помогать
ios,оценка обновление обновить сегодня зайти выкидывать сразу активно пользоваться разочаровать приходиться пользоваться сайт браузер
android,вроде плохой развивать улучшать
android,выбирать свой город пихать вакансия другой город ещё сортировка удалить
android,худой видеть
ios,зависать начало работа часто виснуть айфон
ios,виснуть работать виснуть удалить
ios,отвратный постоянно виснуть выбрасывать просмотр вакансия грузить долго нервный система телефонный выдерживать айфон
ios,ошибка ошибка обновление перестать стабильно работать постоянно выкидывать аккаунт зависать переходить просмотр
ios,мда добавить работа крым
ios,тормозить знать проблема дико тормозить далеко давать возможность посмотреть вакансия
android,вакансия открываться каждый 3я открываться нажимать вакансия открываться окно немой кроме значок обновление сколько повторять процедура оно открываться пробовать закрыть вновь зайти
android,регистрировать резюме постоянно выдавать ошибка почта
ios,испортить интерфейс очень сильно испортить интерфейс ранний весь просто понятно найти приглашение интервью необходимый нажать 150 кнопка перейти туда знать
android,никак получаться добавить компания чёрный список андроид
android,ужасный приложениен понятно выложить свой резюметёха поддержка реальный удалёнкепереписка день слово тд
android,каждый обновление худой ранний новое вакансия подписка посмотреть нажать подписка точка просто открываться мрак простой сайт смотреть
android,просто нужный телефон работадатель регистрация хотеть достовалить мошеннический промежуточнный фирма кадрофф другой подобнный оорганизация поверьте слово кадрофф пороботало бессплатно стропальщик кировский завод думать выбрать два стропальщик сказать позвонить сказать сказать принять полнный рабочий день оплатить никто зато надоесть нужнный звонок
android,предложение работать постоянно блокировать резюме
android,привет какнужнка
android,норма
android,хх испортиться вакансия попадаться такой авитосетевой бизнес какой понятный компаниичто случиться прежний хх скатываться весь раздел удалённый работа мошенник
android,реально неудобный сомневаться он найти работа
android,ребята разработчик хэлп ми почему виснуть отправка отклик писать удаться загрузить резюме резюме отправить род скорость инет 20мбитый секунда вроде норма скорость такой незадача связаться я ответить исправить плиз
android,почему каждый обновление вылетать учётный запись
android,найти работа реально ещё разработчик сливать база номер сетевика названивать
ios,проблема заходить обновление
ios,смысл фильтр смысл поставить фильтр поиск вакансия задать критерий выходить подряд бесить жутко выходить тот компания который принцип интересовать
